tpl,pta,ptd,arr_at,dep_at,arr_delay,dep_delay
DISS,12:06:00,12:07:00,12:06:00,12:08:00,0.0,0.016666666666666666
NRCH,12:27:00,,12:23:00,,-0.06666666666666667,
LIVST,,11:30:00,,11:30:00,,0.0
STFD,,11:38:00,11:37:00,11:38:00,,0.0
CHLMSFD,12:02:00,12:03:00,11:59:00,12:02:00,-0.05,-0.016666666666666666
CLCHSTR,12:22:00,12:23:00,12:21:00,12:22:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,12:31:00,12:31:00,12:30:00,12:31:00,-0.016666666666666666,0.0
IPSWICH,12:43:00,12:44:00,12:42:00,12:43:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,12:55:00,12:55:00,12:54:00,12:54:00,-0.016666666666666666,-0.016666666666666666
DISS,13:07:00,13:08:00,13:07:00,13:08:00,0.0,0.0
NRCH,13:27:00,,13:25:00,,-0.03333333333333333,
LIVST,,12:30:00,,12:29:00,,-0.016666666666666666
STFD,,12:38:00,12:40:00,12:41:00,,0.05
CHLMSFD,13:02:00,13:03:00,13:01:00,13:02:00,-0.016666666666666666,-0.016666666666666666
CLCHSTR,13:22:00,13:23:00,13:18:00,13:22:00,-0.06666666666666667,-0.016666666666666666
MANNGTR,13:31:00,13:31:00,13:29:00,13:30:00,-0.03333333333333333,-0.016666666666666666
IPSWICH,13:43:00,13:44:00,13:39:00,13:43:00,-0.06666666666666667,-0.016666666666666666
STWMRKT,13:55:00,13:55:00,13:53:00,13:54:00,-0.03333333333333333,-0.016666666666666666
DISS,14:07:00,14:08:00,14:05:00,14:08:00,-0.03333333333333333,0.0
NRCH,14:27:00,,14:23:00,,-0.06666666666666667,
LIVST,,13:30:00,,13:29:00,,-0.016666666666666666
STFD,,13:38:00,13:36:00,13:38:00,,0.0
CHLMSFD,14:02:00,14:03:00,13:57:00,14:03:00,-0.08333333333333333,0.0
CLCHSTR,14:22:00,14:23:00,14:23:00,14:23:00,0.016666666666666666,0.0
MANNGTR,14:31:00,14:31:00,14:30:00,14:32:00,-0.016666666666666666,0.016666666666666666
IPSWICH,14:43:00,14:44:00,14:41:00,14:44:00,-0.03333333333333333,0.0
STWMRKT,14:55:00,14:55:00,14:53:00,14:54:00,-0.03333333333333333,-0.016666666666666666
DISS,15:07:00,15:08:00,15:05:00,15:07:00,-0.03333333333333333,-0.016666666666666666
NRCH,15:27:00,,15:23:00,,-0.06666666666666667,
LIVST,,14:00:00,,13:59:00,,-0.016666666666666666
CLCHSTR,14:46:00,14:47:00,14:43:00,14:48:00,-0.05,0.016666666666666666
MANNGTR,14:55:00,14:55:00,14:54:00,14:56:00,-0.016666666666666666,0.016666666666666666
IPSWICH,15:07:00,15:08:00,15:05:00,15:07:00,-0.03333333333333333,-0.016666666666666666
DISS,15:28:00,15:29:00,15:26:00,15:29:00,-0.03333333333333333,0.0
NRCH,15:48:00,,15:45:00,,-0.05,
LIVST,,14:30:00,,14:30:00,,0.0
STFD,,14:38:00,14:36:00,14:39:00,,0.016666666666666666
CHLMSFD,15:02:00,15:03:00,15:01:00,15:03:00,-0.016666666666666666,0.0
CLCHSTR,15:22:00,15:23:00,15:21:00,15:23:00,-0.016666666666666666,0.0
MANNGTR,15:31:00,15:31:00,15:30:00,15:32:00,-0.016666666666666666,0.016666666666666666
IPSWICH,15:43:00,15:44:00,15:41:00,15:44:00,-0.03333333333333333,0.0
STWMRKT,15:55:00,15:55:00,15:53:00,15:54:00,-0.03333333333333333,-0.016666666666666666
DISS,16:07:00,16:08:00,16:05:00,16:07:00,-0.03333333333333333,-0.016666666666666666
NRCH,16:27:00,,16:22:00,,-0.08333333333333333,
LIVST,,15:30:00,,15:29:00,,-0.016666666666666666
CHLMSFD,15:59:00,16:00:00,15:56:00,15:59:00,-0.05,-0.016666666666666666
